X,Date,Feature_Name,Animal.Equivalent.Grazing.Days,AACO_ID,Property_Name,Feature_Type,Area_Ha,AEGD_p_Ha
2,2012-04-15,Adder,530.245825906218,ANTPDK0001,Anthony Lagoon,Paddock,17246.19,0.030745679243138226
4,2012-04-15,Channel,1655.03316355515,ANTPDK0006,Anthony Lagoon,Paddock,9834.45,0.16828934648660065
5,2012-04-15,Cols,6765.58847690177,ANTPDK0007,Anthony Lagoon,Paddock,5554.34,1.2180724400922107
6,2012-04-15,Dobbos,5703.27174650925,ANTPDK0013,Anthony Lagoon,Paddock,490.68,11.623199939898203
7,2012-04-15,Edens,1248.16696636433,EVAPDK0020,Eva Downs,NA,NA,NA
8,2012-04-15,R & D 5,2140.06131122884,EVAPDK0052,Eva Downs,NA,NA,NA
9,2012-04-15,Frostys,6552.06348755151,ANTPDK0018,Anthony Lagoon,Paddock,18295.28,0.35812862593802935
10,2012-04-15,Little Shipper,157.474191181396,ANTPDK0024,Anthony Lagoon,Paddock,474.32,0.3319998970766487
11,2012-04-15,No 1,3206.15588600311,ANTPDK0028,Anthony Lagoon,Paddock,11151.21,0.2875164117618725
12,2012-04-15,No 2,18703.883811129,ANTPDK0042,Anthony Lagoon,Paddock,23531.66,0.7948391150955351
14,2012-04-15,No 5,3113.03966340678,ANTPDK0058,Anthony Lagoon,Paddock,13825.2,0.22517140174513064
17,2012-04-15,Princes,6320.29370906822,ANTPDK0068,Anthony Lagoon,Paddock,1486.47,4.251881106963625
18,2012-04-15,Sinkhole,2921.01549363066,ANTPDK0082,Anthony Lagoon,Paddock,22340.6,0.13074919624498269
19,2012-04-15,Tarrabool,126705.579500135,ANTPDK0071,Anthony Lagoon,Paddock,85027.24,1.4901763187907193
22,2012-05-15,Adder,16959.4283879152,ANTPDK0001,Anthony Lagoon,Paddock,17246.19,0.9833724659136424
23,2012-05-15,Channel,49238.0447533288,ANTPDK0006,Anthony Lagoon,Paddock,9834.45,5.006690232125721
24,2012-05-15,Cols,4984.64637550047,ANTPDK0007,Anthony Lagoon,Paddock,5554.34,0.897432705866128
25,2012-05-15,Coulthards,10.6950534452586,ANTPDK0010,Anthony Lagoon,Paddock,19814.2,5.397671087027788e-4
26,2012-05-15,Dobbos,4429.99251770958,ANTPDK0013,Anthony Lagoon,Paddock,490.68,9.028272025983492
27,2012-05-15,A,375.661583731051,EVAPDK0001,Eva Downs,NA,NA,NA
28,2012-05-15,Bluebush,1422.80406870335,EVAPDK0004,Eva Downs,NA,NA,NA
29,2012-05-15,Bradys,3528.44434333134,EVAPDK0075,Eva Downs,NA,NA,NA
30,2012-05-15,Broad Creek,1379.62725152954,EVAPDK0005,Eva Downs,NA,NA,NA
32,2012-05-15,C,12282.5571554404,EVAPDK0007,Eva Downs,NA,NA,NA
33,2012-05-15,Claytons,18518.8676917172,EVAPDK0012,Eva Downs,NA,NA,NA
34,2012-05-15,E,525.572385579542,EVAPDK0018,Eva Downs,NA,NA,NA
35,2012-05-15,Edens,30036.661292638,EVAPDK0020,Eva Downs,NA,NA,NA
36,2012-05-15,Fathers,9161.59128510132,EVAPDK0027,Eva Downs,NA,NA,NA
38,2012-05-15,Grandfathers,2959.25060180422,EVAPDK0030,Eva Downs,NA,NA,NA
39,2012-05-15,Night Horse,1030.1304758289,EVAPDK0042,Eva Downs,NA,NA,NA
41,2012-05-15,R & D 2,1365.41388238349,EVAPDK0048,Eva Downs,NA,NA,NA
42,2012-05-15,R & D 3,23205.4164459099,EVAPDK0049,Eva Downs,NA,NA,NA
43,2012-05-15,R & D 4,6196.55146320494,EVAPDK0050,Eva Downs,NA,NA,NA
44,2012-05-15,R & D 5,11490.2735275962,EVAPDK0052,Eva Downs,NA,NA,NA
45,2012-05-15,R & D 7,103.246829902713,EVAPDK0055,Eva Downs,NA,NA,NA
46,2012-05-15,Surveyor,3388.81727432009,EVAPDK0065,Eva Downs,NA,NA,NA
48,2012-05-15,Tims,15581.8892819911,EVAPDK0070,Eva Downs,NA,NA,NA
49,2012-05-15,Frostys,8658.1656307021,ANTPDK0018,Anthony Lagoon,Paddock,18295.28,0.473245866185273
50,2012-05-15,Little Shipper,8435.37403458529,ANTPDK0024,Anthony Lagoon,Paddock,474.32,17.784141580758327
51,2012-05-15,No 1,38338.2831810866,ANTPDK0028,Anthony Lagoon,Paddock,11151.21,3.4380379511359394
53,2012-05-15,No 2,55743.122532656,ANTPDK0042,Anthony Lagoon,Paddock,23531.66,2.368856363412356
54,2012-05-15,No 20,9025.53560064414,ANTPDK0043,Anthony Lagoon,Paddock,6070.75,1.4867249681907737
57,2012-05-15,No 4,5761.50626183695,ANTPDK0057,Anthony Lagoon,Paddock,10884.79,0.5293171721123651
58,2012-05-15,No 5,26257.6258067431,ANTPDK0058,Anthony Lagoon,Paddock,13825.2,1.899258296931914
